scenario_id,road_environment,road_type,pothole_depth,water_depth,ntu,weather,lighting,vehicle_speed,severity
SC291,Urban,Mud,9,2,183,Foggy,Night_Dark,10.54,Moderate
SC292,Urban,Dirt,20,2,195,Mist,Daylight,7.1,Moderate
SC293,Rural,Asphalt,18,14,64,Cloudy,Night_Dark,7.59,Severe
SC294,Urban,Gravel,5,5,175,Rainy,Dusk,7.78,Moderate
SC295,Rural,Asphalt,6,0,200,Drizzle,Dawn,2.32,Low
SC296,Urban,Dirt,18,11,478,Thunderstorm,Daylight,5.82,Extreme
SC297,Rural,Dirt,9,5,15,Clear,Night_Dark,3.78,Moderate
SC298,Rural,Mud,12,0,105,Foggy,Daylight,11.78,Low
SC299,Rural,Dirt,12,3,217,Foggy,Night_Streetlights,5.46,Moderate
SC300,Urban,Gravel,6,6,164,Mist,Dawn,6.19,Moderate
SC301,Urban,Asphalt,8,0,164,Cloudy,Dawn,7.98,Low
SC302,Urban,Asphalt,17,14,109,Mist,Dawn,7.4,Extreme
SC303,Urban,Asphalt,12,11,247,Foggy,Dusk,5.19,Severe
SC304,Rural,Mud,9,8,106,Cloudy,Dusk,6.14,Moderate
SC305,Urban,Gravel,10,10,209,Foggy,Night_Dark,7.56,Severe
SC306,Rural,Asphalt,15,13,132,Mist,Night_Streetlights,3.49,Severe
SC307,Urban,Dirt,20,7,467,Thunderstorm,Night_Dark,4.25,Extreme
SC308,Rural,Concrete,18,13,71,Clear,Night_Dark,7.3,Severe
SC309,Urban,Dirt,15,2,195,Drizzle,Daylight,10.47,Moderate
SC310,Urban,Asphalt,17,1,9,Clear,Dusk,3.88,Low
SC311,Urban,Mud,15,9,123,Rainy,Daylight,4.12,Severe
SC312,Urban,Concrete,12,11,157,Mist,Night_Streetlights,9.04,Severe
SC313,Urban,Dirt,14,6,219,Foggy,Dusk,7.34,Moderate
SC314,Rural,Gravel,20,14,105,Drizzle,Dusk,10.03,Extreme
SC315,Rural,Dirt,15,13,61,Cloudy,Dusk,7.63,Severe
SC316,Urban,Concrete,18,9,19,Clear,Dusk,3.96,Moderate
SC317,Rural,Concrete,20,17,186,Foggy,Daylight,4.57,Extreme
SC318,Rural,Dirt,16,5,155,Rainy,Daylight,9.2,Moderate
SC319,Urban,Dirt,6,6,119,Foggy,Dawn,11.45,Moderate
SC320,Urban,Asphalt,12,1,301,Rainy,Daylight,3.51,Moderate
SC321,Rural,Concrete,20,15,84,Drizzle,Dawn,2.07,Extreme
SC322,Rural,Mud,13,8,36,Clear,Dawn,2.17,Moderate
SC323,Urban,Dirt,9,3,24,Clear,Dawn,8.2,Low
SC324,Rural,Gravel,7,5,183,Drizzle,Night_Streetlights,6.59,Moderate
SC325,Urban,Concrete,6,0,183,Drizzle,Dawn,5.79,Low
SC326,Rural,Mud,10,1,63,Clear,Dawn,10.45,Low
SC327,Urban,Gravel,12,3,245,Foggy,Dawn,6.76,Moderate
SC328,Urban,Asphalt,6,1,198,Mist,Dusk,10.5,Low
SC329,Urban,Asphalt,17,2,176,Foggy,Daylight,3.62,Moderate
SC330,Rural,Concrete,15,12,176,Mist,Night_Dark,9.4,Severe
SC331,Rural,Asphalt,18,7,9,Clear,Dawn,5.41,Moderate
SC332,Rural,Mud,5,5,319,Thunderstorm,Dusk,9.84,Moderate
SC333,Rural,Dirt,17,13,97,Cloudy,Dusk,8.8,Severe
SC334,Urban,Dirt,14,12,313,Thunderstorm,Night_Dark,9.13,Extreme
SC335,Rural,Asphalt,9,6,131,Cloudy,Night_Streetlights,5.61,Moderate
SC336,Urban,Asphalt,16,8,106,Drizzle,Night_Streetlights,3.33,Moderate
SC337,Rural,Concrete,18,3,126,Rainy,Night_Dark,2.9,Moderate
SC338,Urban,Mud,15,12,103,Foggy,Night_Dark,4.92,Severe
SC339,Urban,Dirt,12,9,146,Mist,Night_Dark,3.7,Moderate
SC340,Urban,Dirt,14,4,176,Cloudy,Dusk,3.46,Moderate
SC341,Rural,Concrete,14,7,99,Drizzle,Night_Streetlights,5.61,Moderate
SC342,Rural,Concrete,11,7,127,Foggy,Night_Dark,3.35,Moderate
SC343,Rural,Asphalt,17,10,192,Drizzle,Night_Dark,5.35,Severe
SC344,Urban,Mud,11,7,160,Drizzle,Dusk,3.78,Moderate
SC345,Rural,Dirt,12,5,176,Drizzle,Night_Streetlights,4.8,Moderate
SC346,Rural,Dirt,11,9,69,Clear,Night_Dark,3.8,Moderate
SC347,Urban,Mud,11,7,182,Mist,Night_Streetlights,4.91,Moderate
SC348,Rural,Asphalt,9,4,110,Mist,Night_Streetlights,4.53,Moderate
SC349,Rural,Concrete,7,7,403,Thunderstorm,Night_Streetlights,6.79,Severe
SC350,Rural,Dirt,16,2,127,Foggy,Dawn,9.69,Moderate
SC351,Urban,Gravel,6,4,162,Mist,Night_Dark,8.77,Moderate
SC352,Rural,Dirt,8,0,275,Thunderstorm,Night_Streetlights,4.59,Moderate
SC353,Urban,Mud,17,14,317,Rainy,Dusk,8.8,Extreme
SC354,Urban,Mud,20,3,155,Drizzle,Dawn,6.16,Moderate
SC355,Urban,Asphalt,16,9,337,Thunderstorm,Daylight,6.55,Severe
